Date,Advances,Declines
18/05/2025,39,11
19/05/2025,35,15
20/05/2025,35,15
21/05/2025,40,10
22/05/2025,38,12
23/05/2025,40,10
24/05/2025,40,10
25/05/2025,35,15
26/05/2025,37,13
27/05/2025,38,12
28/05/2025,39,11
29/05/2025,39,11
30/05/2025,39,11
31/05/2025,37,13
01/06/2025,39,11
02/06/2025,40,10
03/06/2025,35,15
04/06/2025,37,13
05/06/2025,40,10
06/06/2025,37,13
07/06/2025,40,10
08/06/2025,35,15
09/06/2025,36,14
10/06/2025,39,11
11/06/2025,40,10
12/06/2025,38,12
13/06/2025,40,10
14/06/2025,36,14
15/06/2025,37,13
16/06/2025,40,10
17/06/2025,40,10
18/06/2025,35,15
19/06/2025,39,11
20/06/2025,39,11
21/06/2025,36,14
22/06/2025,38,12
23/06/2025,40,10
24/06/2025,37,13
25/06/2025,37,13
26/06/2025,36,14
27/06/2025,35,15
28/06/2025,36,14
29/06/2025,36,14
30/06/2025,37,13
01/07/2025,37,13
02/07/2025,39,11
03/07/2025,39,11
04/07/2025,35,15
05/07/2025,36,14
06/07/2025,38,12
07/07/2025,37,13
08/07/2025,37,13
09/07/2025,39,11
10/07/2025,35,15
11/07/2025,35,15
12/07/2025,40,10
13/07/2025,37,13
14/07/2025,35,15
15/07/2025,39,11
16/07/2025,39,11
17/07/2025,39,11
18/07/2025,39,11
19/07/2025,35,15
20/07/2025,36,14
21/07/2025,38,12
22/07/2025,38,12
23/07/2025,38,12
24/07/2025,39,11
25/07/2025,39,11
26/07/2025,35,15
27/07/2025,38,12
28/07/2025,35,15
29/07/2025,40,10
30/07/2025,38,12
31/07/2025,40,10
01/08/2025,37,13
02/08/2025,40,10
03/08/2025,40,10
04/08/2025,36,14
05/08/2025,35,15
06/08/2025,36,14
07/08/2025,35,15
08/08/2025,37,13
09/08/2025,38,12
10/08/2025,36,14
11/08/2025,38,12
12/08/2025,35,15
13/08/2025,38,12
14/08/2025,36,14
15/08/2025,35,15
16/08/2025,35,15
17/08/2025,40,10
18/08/2025,35,15
19/08/2025,40,10
20/08/2025,37,13
21/08/2025,38,12
22/08/2025,37,13
23/08/2025,40,10
24/08/2025,38,12
25/08/2025,37,13
26/08/2025,37,13
27/08/2025,40,10
28/08/2025,35,15
29/08/2025,36,14
30/08/2025,35,15
31/08/2025,35,15
01/09/2025,40,10
02/09/2025,35,15
03/09/2025,39,11
04/09/2025,40,10
05/09/2025,38,12
06/09/2025,39,11
07/09/2025,38,12
08/09/2025,36,14
09/09/2025,37,13
10/09/2025,35,15
11/09/2025,37,13
12/09/2025,37,13
13/09/2025,36,14
14/09/2025,39,11
15/09/2025,39,11
16/09/2025,39,11
17/09/2025,39,11
18/09/2025,37,13
19/09/2025,37,13
20/09/2025,40,10
21/09/2025,39,11
22/09/2025,36,14
23/09/2025,39,11
24/09/2025,36,14
25/09/2025,35,15
26/09/2025,37,13
27/09/2025,39,11
28/09/2025,35,15
29/09/2025,38,12
30/09/2025,40,10
01/10/2025,35,15
02/10/2025,40,10
03/10/2025,36,14
04/10/2025,35,15
05/10/2025,38,12
06/10/2025,38,12
07/10/2025,40,10
08/10/2025,40,10
09/10/2025,40,10
10/10/2025,39,11
11/10/2025,37,13
12/10/2025,37,13
13/10/2025,37,13
14/10/2025,39,11
15/10/2025,39,11
16/10/2025,36,14
17/10/2025,40,10
18/10/2025,39,11
19/10/2025,39,11
20/10/2025,39,11
21/10/2025,38,12
22/10/2025,36,14
23/10/2025,37,13
24/10/2025,37,13
25/10/2025,36,14
26/10/2025,37,13
27/10/2025,40,10
28/10/2025,37,13
29/10/2025,39,11
30/10/2025,37,13
31/10/2025,40,10
01/11/2025,35,15
02/11/2025,39,11
03/11/2025,39,11
04/11/2025,39,11
05/11/2025,39,11
06/11/2025,39,11
07/11/2025,40,10
08/11/2025,38,12
09/11/2025,37,13
10/11/2025,40,10
11/11/2025,37,13
12/11/2025,35,15
13/11/2025,36,14
14/11/2025,40,10
15/11/2025,36,14
16/11/2025,37,13
17/11/2025,37,13
18/11/2025,37,13
19/11/2025,37,13
20/11/2025,40,10
21/11/2025,38,12
22/11/2025,39,11
23/11/2025,40,10
24/11/2025,38,12
25/11/2025,36,14
26/11/2025,35,15
27/11/2025,39,11
28/11/2025,40,10
29/11/2025,36,14
30/11/2025,39,11
01/12/2025,38,12
02/12/2025,40,10
03/12/2025,37,13
04/12/2025,39,11
05/12/2025,35,15
06/12/2025,36,14
07/12/2025,37,13
08/12/2025,36,14
09/12/2025,40,10
10/12/2025,39,11
11/12/2025,38,12
12/12/2025,39,11
13/12/2025,40,10
14/12/2025,35,15
15/12/2025,36,14
16/12/2025,35,15
